,LinReg(Time),Ridge(Time),lasso(Time)
138,0.0,0.015630245208740234,0.003013134002685547
139,0.0,0.0,0.0
140,0.013019084930419922,0.0,0.0
141,0.0,0.0,0.01564168930053711
142,0.0,0.0,0.0
143,0.0,0.01562786102294922,0.0
144,0.0,0.0,0.0
145,0.015631437301635742,0.0,0.0
146,0.0,0.0,0.015630006790161133
147,0.0,0.0,0.0
148,0.0,0.015625715255737305,0.0
149,0.00901484489440918,0.0,0.0
150,0.007016181945800781,0.0,0.0
151,0.0,0.015637874603271484,0.0
152,0.0,0.015632152557373047,0.0
153,0.0,0.015655040740966797,0.0
154,0.0,0.0,0.0
155,0.01562666893005371,0.0,0.0
156,0.0,0.0,0.015630006790161133
157,0.0,0.0,0.0
158,0.0,0.015043020248413086,0.0010309219360351562
159,0.0,0.0,0.0
160,0.0,0.015662431716918945,0.0
161,0.0,0.0,0.0
162,0.015628814697265625,0.0,0.0
163,0.015605688095092773,0.0,0.0
164,0.0,0.0,0.015654325485229492
165,0.0,0.0,0.0
166,0.0,0.015628337860107422,0.0
167,0.0,0.0,0.0
168,0.015631675720214844,0.0,0.0050373077392578125
169,0.0,0.0,0.011041641235351562
170,0.0,0.0,0.0
171,0.0,0.015641212463378906,0.0
172,0.0,0.0,0.0
173,0.015651941299438477,0.0,0.0
174,0.0,0.0,0.0
175,0.015629053115844727,0.0,0.0
176,0.0,0.0,0.01562976837158203
177,0.0,0.0,0.0
178,0.0,0.015630006790161133,0.0
179,0.0,0.011042356491088867,0.0
180,0.005037546157836914,0.0,0.0
181,0.0,0.0,0.015661239624023438
182,0.0,0.0,0.0
183,0.0,0.01562976837158203,0.0
184,0.0,0.0,0.0
185,0.015608072280883789,0.0,0.0
186,0.0,0.0,0.01565241813659668
187,0.0,0.0,0.0
188,0.0,0.01560831069946289,0.0
189,0.0,0.0,0.0
190,0.016638517379760742,0.0,0.0
191,0.0,0.0,0.015019655227661133
192,0.0,0.0,0.0
193,0.0,0.015639781951904297,0.0
194,0.0,0.0,0.0
195,0.015633106231689453,0.0,0.0
196,0.0,0.0,0.015626192092895508
197,0.0,0.0,0.0
198,0.0,0.0,0.01563405990600586
199,0.0,0.0,0.0
200,0.0,0.015629291534423828,0.0
201,0.007013797760009766,0.0,0.0
202,0.009014129638671875,0.0,0.0
203,0.015636682510375977,0.0,0.0
204,0.015627622604370117,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.015616416931152344,0.0
207,0.01562809944152832,0.0,0.0
208,0.0,0.013015985488891602,0.0030112266540527344
209,0.0,0.0,0.0
210,0.0,0.015636205673217773,0.0
211,0.0,0.015626907348632812,0.0
212,0.0,0.0,0.0
213,0.01562809944152832,0.0,0.0
214,0.0,0.01563239097595215,0.0
215,0.0,0.0,0.015630483627319336
216,0.0,0.0,0.01563119888305664
217,0.00351715087890625,0.0,0.0
218,0.0,0.01251220703125,0.0
219,0.0,0.0,0.0156402587890625
220,0.0,0.0,0.0
221,0.015625476837158203,0.0,0.0
222,0.0,0.0,0.015630722045898438
223,0.0,0.0,0.0
224,0.0,0.015627145767211914,0.0
225,0.0,0.0,0.01563286781311035
226,0.004235506057739258,0.004011392593383789,0.0010137557983398438
227,0.0,0.007017612457275391,0.0
228,0.008012771606445312,0.0,0.007997512817382812
229,0.0,0.008001327514648438,0.0
230,0.008001565933227539,0.0,0.008027315139770508
231,0.008051633834838867,0.0,0.0
232,0.0,0.0,0.015630006790161133
233,0.0,0.0,0.0
234,0.0,0.015654325485229492,0.0
235,0.0,0.0,0.0
236,0.013539552688598633,0.0025298595428466797,0.0
237,0.0,0.0,0.0
238,0.015660524368286133,0.0,0.0
239,0.015629053115844727,0.0,0.0
240,0.0,0.0,0.01562952995300293
241,0.0,0.0,0.015606880187988281
242,0.0,0.0,0.0
243,0.0,0.015653610229492188,0.0
244,0.0,0.0,0.0
245,0.01562976837158203,0.004011869430541992,0.0
246,0.0,0.0,0.012013673782348633
247,0.0,0.0,0.0
248,0.0,0.0,0.01564192771911621
249,0.0,0.0,0.0
250,0.0,0.015626192092895508,0.0
251,0.0,0.0,0.0
252,0.01562976837158203,0.0,0.0
253,0.0,0.0,0.01562976837158203
254,0.0,0.0,0.0
255,0.0,0.015629053115844727,0.0
256,0.0,0.010013818740844727,0.0
257,0.006014347076416016,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.015655517578125
261,0.0,0.0,0.0
262,0.0,0.015629053115844727,0.0
263,0.0,0.0,0.0
264,0.015627145767211914,0.0,0.0
265,0.0,0.0,0.015631914138793945
266,0.0,0.0,0.0
267,0.0,0.016142606735229492,0.0
268,0.0,0.0,0.0
269,0.0,0.015538692474365234,0.0
270,0.0,0.0,0.0
271,0.01566457748413086,0.0,0.0
272,0.0,0.0,0.015630006790161133
273,0.0,0.0,0.0
274,0.0,0.015608549118041992,0.0
275,0.0,0.0,0.0
276,0.015651464462280273,0.0,0.0
277,0.0,0.0,0.015628814697265625
278,0.0,0.00654149055480957,0.0
279,0.0,0.009541988372802734,0.0
280,0.0,0.0,0.0
281,0.015642404556274414,0.0,0.0
282,0.0,0.0,0.015651464462280273
283,0.0,0.0,0.0
284,0.0,0.015607595443725586,0.0
285,0.0,0.0,0.0
286,0.015639305114746094,0.0,0.0
287,0.0,0.0,0.01562047004699707
288,0.0,0.0,0.0
289,0.01251673698425293,0.0,0.0035181045532226562
290,0.0,0.0,0.0
291,0.0,0.01566171646118164,0.0
292,0.0,0.0,0.0
293,0.01562976837158203,0.0,0.0
294,0.0,0.0,0.01562976837158203
295,0.0,0.0,0.0
296,0.0,0.01562952995300293,0.0
297,0.0,0.0,0.0
298,0.015628814697265625,0.0,0.0
299,0.0,0.0,0.0
300,0.015630245208740234,0.0030374526977539062,0.0
301,0.0,0.0,0.013040542602539062
302,0.0,0.0,0.015647172927856445
303,0.0,0.0,0.0
304,0.0,0.015643596649169922,0.0
305,0.0,0.0,0.0
306,0.015630483627319336,0.0,0.0
307,0.0,0.0,0.015603303909301758
308,0.0,0.0,0.0
309,0.0,0.015631675720214844,0.0
310,0.0,0.009038925170898438,0.0
311,0.007039070129394531,0.0,0.0
312,0.0,0.0,0.015642642974853516
313,0.0,0.0,0.0
314,0.0,0.015652179718017578,0.0
315,0.0,0.0,0.0
316,0.015604019165039062,0.0,0.0
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0156252384185791,0.015015363693237305,0.0010106563568115234
320,0.0,0.0,0.01563405990600586
321,0.0,0.0,0.0
322,0.01562976837158203,0.0,0.0
323,0.0,0.01562952995300293,0.0
324,0.0,0.0,0.01562976837158203
325,0.0,0.0,0.0
326,0.0,0.015628814697265625,0.0
327,0.0,0.0,0.0
328,0.015633106231689453,0.0,0.0055158138275146484
329,0.0,0.0,0.010506629943847656
330,0.0,0.0,0.0
331,0.0,0.015630483627319336,0.0
332,0.0,0.0,0.0
333,0.015631914138793945,0.0,0.0
334,0.0,0.0,0.015656471252441406
335,0.0,0.0,0.0
336,0.0,0.015630245208740234,0.0
337,0.0,0.015612363815307617,0.0
338,0.0,0.0,0.011519908905029297
339,0.0045392513275146484,0.0,0.0
340,0.0,0.0,0.015638351440429688
341,0.0,0.0,0.0
342,0.01563096046447754,0.0,0.0
343,0.0,0.015624523162841797,0.0
344,0.0,0.0,0.01562952995300293
345,0.0,0.0,0.0
346,0.0,0.015651464462280273,0.0
347,0.0,0.0,0.0
348,0.01712346076965332,0.0,0.0
349,0.0,0.012196540832519531,0.008006095886230469
350,0.0,0.0,0.008009910583496094
351,0.0,0.007996797561645508,0.0
352,0.008025169372558594,0.0,0.0
353,0.007976293563842773,0.0,0.008017539978027344
354,0.0,0.007987737655639648,0.0
355,0.0,0.00799870491027832,0.0
356,0.008023977279663086,0.0,0.007983207702636719
357,0.0,0.0,0.008002042770385742
358,0.0,0.008025884628295898,0.0
359,0.0,0.007993936538696289,0.0
360,0.00798487663269043,0.0,0.008002758026123047
361,0.0,0.0,0.007998466491699219
362,0.0,0.008004903793334961,0.0
363,0.008001089096069336,0.0,0.0
364,0.008002042770385742,0.0,0.008000612258911133
365,0.0,0.008002519607543945,0.0
366,0.008015155792236328,0.0,0.0
367,0.008002281188964844,0.0,0.008002042770385742
368,0.00801706314086914,0.0,0.00797414779663086
369,0.0,0.0,0.008002519607543945
370,0.0,0.008001565933227539,0.0
371,0.00800633430480957,0.0,0.0
372,0.007996082305908203,0.0,0.008030414581298828
373,0.0,0.008431673049926758,0.0
374,0.0,0.0,0.0
375,0.015628814697265625,0.0,0.0
376,0.0,0.0,0.015651941299438477
377,0.0,0.0045397281646728516,0.0
378,0.0,0.0,0.011536598205566406
379,0.0,0.0,0.0
380,0.01563739776611328,0.0,0.0
381,0.0,0.0,0.015630722045898438
382,0.0,0.0,0.0
383,0.0,0.015654802322387695,0.0
384,0.0,0.0,0.0
385,0.015605688095092773,0.0,0.0
386,0.0,0.0,0.01562786102294922
387,0.0,0.010509490966796875,0.005513668060302734
388,0.0,0.0,0.0
389,0.0,0.015636682510375977,0.0
390,0.0,0.0,0.0
391,0.015629053115844727,0.0,0.0
392,0.0,0.0,0.01563096046447754
393,0.0,0.0,0.0
394,0.0,0.015631675720214844,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
